time,Bx,By,Bz,Btotal
2023-07-25 10:42:47.8850,-11.75,-5.63,-49.04,50.74
2023-07-25 10:42:47.9860,-10.85,-6.18,-49.44,50.99
2023-07-25 10:42:48.0850,-10.49,-6.43,-49.48,50.99
2023-07-25 10:42:48.1860,-10.8,-6.0,-49.42,50.94
2023-07-25 10:42:48.2860,-11.14,-5.69,-49.27,50.83
2023-07-25 10:42:48.3850,-11.8,-5.07,-49.15,50.8
2023-07-25 10:42:48.4850,-11.56,-4.94,-49.27,50.85
2023-07-25 10:42:48.5840,-11.59,-4.9,-49.0,50.59
2023-07-25 10:42:48.6830,-11.61,-4.85,-49.07,50.66
2023-07-25 10:42:48.7830,-11.56,-4.59,-48.95,50.51
2023-07-25 10:42:48.8820,-11.38,-4.45,-49.21,50.7
2023-07-25 10:42:48.9810,-11.01,-4.36,-49.14,50.55
2023-07-25 10:42:49.0810,-10.86,-3.98,-49.38,50.72
2023-07-25 10:42:49.1820,-10.61,-3.94,-49.19,50.47
2023-07-25 10:42:49.2810,-10.63,-3.42,-49.4,50.65
2023-07-25 10:42:49.3810,-10.3,-3.47,-49.6,50.78
2023-07-25 10:42:49.4810,-10.2,-3.18,-49.65,50.79
2023-07-25 10:42:49.5800,-9.95,-3.54,-49.36,50.48
2023-07-25 10:42:49.6800,-10.06,-3.24,-49.75,50.86
2023-07-25 10:42:49.7790,-9.84,-3.09,-49.57,50.63
2023-07-25 10:42:49.8790,-9.86,-3.15,-49.88,50.94
2023-07-25 10:42:49.9790,-9.98,-3.19,-49.65,50.74
2023-07-25 10:42:50.0790,-9.83,-3.11,-49.89,50.95
2023-07-25 10:42:50.1780,-9.84,-3.23,-49.57,50.64
2023-07-25 10:42:50.2780,-9.78,-2.93,-49.67,50.71
2023-07-25 10:42:50.3780,-9.6,-3.02,-49.65,50.66
2023-07-25 10:42:50.4780,-9.33,-3.05,-49.94,50.9
2023-07-25 10:42:50.5770,-9.31,-3.06,-50.23,51.17
2023-07-25 10:42:50.6770,-9.29,-2.95,-49.91,50.85
2023-07-25 10:42:50.7760,-9.21,-2.98,-49.89,50.82
2023-07-25 10:42:50.8760,-9.19,-3.08,-49.61,50.55
2023-07-25 10:42:50.9760,-9.23,-3.23,-49.68,50.64
2023-07-25 10:42:51.0760,-9.33,-3.18,-49.58,50.55
2023-07-25 10:42:51.1760,-9.32,-3.13,-49.48,50.45
2023-07-25 10:42:51.2750,-9.21,-3.25,-49.64,50.6
2023-07-25 10:42:51.3750,-9.09,-3.33,-49.81,50.74
2023-07-25 10:42:51.4740,-9.14,-3.0,-49.37,50.3
2023-07-25 10:42:51.5740,-9.38,-3.19,-49.52,50.5
2023-07-25 10:42:51.6730,-9.38,-3.08,-49.34,50.32
2023-07-25 10:42:51.7730,-9.25,-3.09,-49.24,50.2
2023-07-25 10:42:51.8730,-9.35,-3.05,-49.37,50.34
2023-07-25 10:42:51.9730,-9.27,-3.14,-49.62,50.58
2023-07-25 10:42:52.0720,-9.15,-3.05,-49.67,50.6
2023-07-25 10:42:52.1730,-9.2,-3.11,-49.64,50.58
2023-07-25 10:42:52.2730,-9.19,-3.18,-49.59,50.53
2023-07-25 10:42:52.3720,-9.12,-3.3,-49.44,50.38
2023-07-25 10:42:52.4720,-9.34,-3.3,-49.71,50.69
2023-07-25 10:42:52.5740,-9.33,-3.45,-49.47,50.45
2023-07-25 10:42:52.6730,-9.24,-3.38,-49.36,50.33
2023-07-25 10:42:52.7730,-9.19,-3.37,-49.28,50.24
2023-07-25 10:42:52.8700,-9.32,-3.4,-49.47,50.45
2023-07-25 10:42:52.9730,-8.83,-3.21,-49.26,50.15
2023-07-25 10:42:53.0740,-8.91,-3.3,-49.79,50.69
2023-07-25 10:42:53.1690,-9.09,-3.29,-49.62,50.55
2023-07-25 10:42:53.2740,-9.14,-3.28,-49.57,50.51
2023-07-25 10:42:53.3690,-9.39,-3.41,-49.38,50.38
2023-07-25 10:42:53.4680,-9.38,-3.29,-49.65,50.64
2023-07-25 10:42:53.5680,-9.54,-3.35,-49.72,50.74
2023-07-25 10:42:53.6680,-9.6,-3.56,-49.39,50.44
2023-07-25 10:42:53.7670,-9.68,-3.56,-49.58,50.65
2023-07-25 10:42:53.8670,-9.9,-3.72,-49.46,50.58
2023-07-25 10:42:53.9660,-9.99,-3.53,-49.6,50.72
2023-07-25 10:42:54.0660,-10.1,-3.66,-49.57,50.72
2023-07-25 10:42:54.1660,-10.33,-3.64,-49.19,50.4
2023-07-25 10:42:54.2660,-10.21,-3.78,-49.33,50.51
2023-07-25 10:42:54.3650,-10.28,-3.71,-49.22,50.42
2023-07-25 10:42:54.4650,-10.3,-3.81,-49.29,50.5
2023-07-25 10:42:54.5650,-10.03,-3.45,-49.37,50.49
2023-07-25 10:42:54.6650,-9.88,-3.51,-49.46,50.56
2023-07-25 10:42:54.7640,-9.39,-3.66,-49.69,50.7
2023-07-25 10:42:54.8640,-9.07,-3.73,-49.99,50.94
2023-07-25 10:42:54.9630,-9.14,-3.46,-49.61,50.56
2023-07-25 10:42:55.0640,-9.01,-3.48,-49.82,50.75
2023-07-25 10:42:55.1630,-9.24,-3.59,-49.34,50.32
2023-07-25 10:42:55.2630,-9.37,-3.51,-49.38,50.38
2023-07-25 10:42:55.3620,-9.47,-3.41,-49.32,50.34
2023-07-25 10:42:55.4620,-9.76,-3.13,-49.3,50.35
2023-07-25 10:42:55.5620,-9.56,-3.15,-49.24,50.26
2023-07-25 10:42:55.6620,-9.63,-3.11,-49.47,50.5
2023-07-25 10:42:55.7610,-9.88,-3.05,-49.74,50.8
2023-07-25 10:42:55.8610,-9.76,-2.84,-49.58,50.62
2023-07-25 10:42:55.9600,-9.81,-2.74,-49.65,50.68
2023-07-25 10:42:56.0600,-9.86,-2.64,-49.71,50.75
2023-07-25 10:42:56.1610,-9.67,-2.38,-49.54,50.53
2023-07-25 10:42:56.2610,-9.45,-2.68,-49.49,50.45
2023-07-25 10:42:56.3610,-9.5,-3.05,-49.47,50.47
2023-07-25 10:42:56.4610,-9.54,-2.92,-49.43,50.43
2023-07-25 10:42:56.5600,-9.44,-2.91,-49.6,50.58
2023-07-25 10:42:56.6600,-9.49,-3.14,-49.47,50.47
2023-07-25 10:42:56.7600,-9.18,-3.23,-49.52,50.46
2023-07-25 10:42:56.8610,-9.51,-3.2,-49.22,50.23
2023-07-25 10:42:56.9620,-9.38,-3.53,-49.39,50.4
2023-07-25 10:42:57.0620,-9.37,-3.78,-49.63,50.64
2023-07-25 10:42:57.1610,-9.24,-3.81,-49.45,50.45
2023-07-25 10:42:57.2630,-9.33,-3.69,-49.07,50.09
2023-07-25 10:42:57.3610,-9.38,-3.73,-49.44,50.46
2023-07-25 10:42:57.4560,-9.19,-3.65,-49.31,50.3
2023-07-25 10:42:57.5560,-9.1,-3.51,-49.13,50.09
2023-07-25 10:42:57.6560,-9.19,-3.39,-49.36,50.32
2023-07-25 10:42:57.7550,-9.08,-3.31,-49.49,50.43
2023-07-25 10:42:57.8550,-9.04,-3.28,-49.39,50.32
2023-07-25 10:42:57.9550,-9.15,-3.56,-49.35,50.32
2023-07-25 10:42:58.0540,-9.21,-3.26,-49.41,50.36
2023-07-25 10:42:58.1540,-9.18,-3.66,-49.28,50.26
2023-07-25 10:42:58.2530,-9.14,-3.42,-49.41,50.36
2023-07-25 10:42:58.3540,-9.36,-3.75,-49.23,50.25
2023-07-25 10:42:58.4530,-9.29,-3.86,-49.09,50.11
2023-07-25 10:42:58.5520,-9.25,-3.86,-49.3,50.3
2023-07-25 10:42:58.6520,-9.2,-3.81,-49.25,50.24
2023-07-25 10:42:58.7520,-9.32,-3.9,-49.31,50.33
2023-07-25 10:42:58.8520,-9.47,-3.81,-49.14,50.18
2023-07-25 10:42:58.9520,-9.41,-3.8,-49.35,50.38
2023-07-25 10:42:59.0510,-9.39,-3.71,-49.22,50.25
2023-07-25 10:42:59.1510,-9.4,-3.61,-49.41,50.42
2023-07-25 10:42:59.2500,-9.3,-3.69,-49.44,50.45
2023-07-25 10:42:59.3500,-9.64,-3.41,-49.4,50.44
2023-07-25 10:42:59.4510,-9.48,-3.17,-49.38,50.39
2023-07-25 10:42:59.5500,-9.63,-3.19,-49.7,50.73
2023-07-25 10:42:59.6500,-9.62,-3.19,-49.56,50.59
2023-07-25 10:42:59.7490,-9.81,-3.04,-49.38,50.43
2023-07-25 10:42:59.8490,-9.79,-2.96,-49.44,50.49
2023-07-25 10:42:59.9480,-10.02,-2.88,-49.19,50.28
2023-07-25 10:43:00.0480,-10.18,-2.95,-49.38,50.5
2023-07-25 10:43:00.1480,-10.06,-2.96,-49.28,50.38
2023-07-25 10:43:00.2470,-9.91,-3.07,-49.07,50.15
2023-07-25 10:43:00.3480,-9.94,-3.1,-49.31,50.4
2023-07-25 10:43:00.4470,-9.89,-3.1,-49.32,50.39
2023-07-25 10:43:00.5470,-10.11,-3.18,-49.27,50.4
2023-07-25 10:43:00.6470,-10.0,-3.21,-49.18,50.28
2023-07-25 10:43:00.7480,-10.09,-3.24,-49.03,50.17
2023-07-25 10:43:00.8470,-10.01,-3.27,-49.33,50.44
2023-07-25 10:43:00.9490,-9.86,-3.47,-49.27,50.37
2023-07-25 10:43:01.0460,-10.01,-3.33,-49.12,50.24
2023-07-25 10:43:01.1480,-10.0,-3.27,-48.97,50.09
2023-07-25 10:43:01.2480,-10.1,-3.23,-49.09,50.23
2023-07-25 10:43:01.3480,-10.09,-3.16,-48.92,50.05
2023-07-25 10:43:01.4470,-10.02,-3.49,-49.0,50.14
2023-07-25 10:43:01.5480,-10.16,-3.22,-48.96,50.1
2023-07-25 10:43:01.6470,-10.2,-3.3,-48.96,50.12
2023-07-25 10:43:01.7480,-10.23,-2.99,-48.76,49.91
2023-07-25 10:43:01.8430,-10.66,-2.98,-48.82,50.06
2023-07-25 10:43:01.9430,-10.5,-3.12,-49.02,50.23
2023-07-25 10:43:02.0420,-10.32,-3.33,-49.31,50.49
2023-07-25 10:43:02.1410,-10.42,-3.16,-49.02,50.22
2023-07-25 10:43:02.2420,-11.01,-2.75,-48.85,50.15
2023-07-25 10:43:02.3420,-10.98,-2.8,-49.15,50.44
2023-07-25 10:43:02.4410,-10.96,-2.97,-48.79,50.09
2023-07-25 10:43:02.5410,-11.01,-2.79,-48.77,50.07
2023-07-25 10:43:02.6410,-10.87,-2.81,-48.88,50.15
2023-07-25 10:43:02.7400,-10.57,-2.67,-49.04,50.23
2023-07-25 10:43:02.8400,-10.43,-2.88,-49.18,50.36
2023-07-25 10:43:02.9390,-10.43,-2.73,-49.31,50.47
2023-07-25 10:43:03.0390,-10.19,-2.71,-49.22,50.34
2023-07-25 10:43:03.1410,-10.15,-2.88,-49.0,50.12
2023-07-25 10:43:03.2390,-10.17,-3.01,-49.04,50.17
2023-07-25 10:43:03.3380,-10.25,-2.95,-48.93,50.07
2023-07-25 10:43:03.4390,-10.2,-3.17,-49.01,50.16
2023-07-25 10:43:03.5370,-10.29,-3.05,-49.14,50.3
2023-07-25 10:43:03.6370,-10.35,-3.29,-48.98,50.16
2023-07-25 10:43:03.7370,-10.29,-3.25,-48.95,50.12
2023-07-25 10:43:03.8370,-10.38,-3.28,-48.98,50.17
2023-07-25 10:43:03.9360,-10.21,-3.25,-49.02,50.18
2023-07-25 10:43:04.0360,-10.22,-3.09,-48.87,50.02
2023-07-25 10:43:04.1360,-10.24,-3.21,-49.01,50.17
2023-07-25 10:43:04.2360,-10.08,-3.29,-48.8,49.94
2023-07-25 10:43:04.3350,-10.27,-3.15,-48.9,50.07
2023-07-25 10:43:04.4340,-10.17,-3.22,-48.88,50.03
2023-07-25 10:43:04.5340,-10.26,-3.18,-49.24,50.4
2023-07-25 10:43:04.6340,-10.36,-3.3,-49.07,50.26
2023-07-25 10:43:04.7340,-10.25,-3.12,-49.01,50.17
2023-07-25 10:43:04.8340,-10.43,-2.96,-49.0,50.18
2023-07-25 10:43:04.9350,-10.55,-2.94,-48.82,50.04
2023-07-25 10:43:05.0340,-10.54,-2.84,-48.74,49.95
2023-07-25 10:43:05.1350,-10.43,-2.81,-48.78,49.96
2023-07-25 10:43:05.2350,-10.73,-2.93,-49.09,50.33
2023-07-25 10:43:05.3350,-10.66,-2.77,-48.79,50.02
2023-07-25 10:43:05.4350,-10.89,-2.82,-49.2,50.47
2023-07-25 10:43:05.5350,-10.83,-2.7,-49.22,50.47
2023-07-25 10:43:05.6350,-10.72,-2.68,-48.99,50.22
2023-07-25 10:43:05.7350,-10.82,-2.96,-49.4,50.66
2023-07-25 10:43:05.8350,-10.53,-2.98,-49.29,50.49
2023-07-25 10:43:05.9370,-10.34,-3.09,-48.91,50.09
2023-07-25 10:43:06.0350,-10.75,-2.9,-49.06,50.31
2023-07-25 10:43:06.1290,-10.52,-2.71,-49.0,50.19
2023-07-25 10:43:06.2290,-10.46,-2.81,-49.29,50.46
